ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 5;РЕМ М-11 6-й этап км 334-км 543 (1 оч. стр-ва);4;18.04.2025;ПБ ООО ?ЗемДорСтрой?, Тверская область, п. Бельский, км 320 М-10;ГЛК;18.04.2025;БВ PG 70-34 по ГОСТ Р 58400.1;-;ООО НПП БИОТУМ;22/04/25/1/41/М-11;22.04.2025;Соответствует;
ПЛП 5;РЕМ ИССО М-1 р. Дымка км 271+300 (п.л.);1/271/182;14.04.2025;Мост на км 271+300 правый;ГСК;17.04.2025;Бетонные образцы-кубы;-;ООО БизнесТрансСтрой;21/04/25/В35/1/182/М-1 ;21.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-08;23.04.2025;Прямое направление 1 ПК 8+50 2м от кромки, Обратное направление ПК 10+00 2м от оси, Прямое направление ПК 11+00 2м от кромки;ГЛК;23.04.2025;Керны АБ SP-32Н по ГОСТ Р 58401.1;-;ООО НПС//ТСМ;23.04/25-08;24.04.2025;Соответствует;Верхний слой основания Транспортная развязка ПК 1264+33,93 ИССО 20 а/д Бураево-Куеда) уч. ПК 7+67 - ПК 11+97
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-09;23.04.2025;Прямое направление ПК 1037+50 2м от кромки, Прямое направление ПК 1040+00 2м от оси, Прямое направление ПК 1043+20 2,0м от кромки, Прямое направление ПК 1046+00 2м от оси;ГЛК;23.04.2025;Керны АБ SP-32Э по ГОСТ Р 58401.1;-;ООО СУ №926;23.04/25-09;24.04.2025;Соответствует;Верхний слой основания основной ход уч. ПК 1035+00 - ПК 1048+00 прямое направление
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-10;23.04.2025;Обратное направление ПК 1054+00 1,0м от оси, Обратное направление ПК 1056+00 2,0м от кромки, Прямое направление ПК 1056+00 1,0м от оси, Прямое направление ПК 1054+50 2,0м от кромки;ГЛК;23.04.2025;Керны АБ SP-32Э по ГОСТ Р 58401.1;-;ООО СУ №926;23.04/25-10;24.04.2025;Соответствует;Верхний слой основания основной ход уч. ПК 1052+00 - ПК 1057+00 прямое и обратное направление
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-12.04.2025-ЩМА-КЕР1;12.04.2025;ПК23+20 лево, ПК28+75 право;ГСК;13.04.2025;Керны АБ ЩМА-15 по ГОСТ 31015;-;;12.04.2025-12;17.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-12.04.2025-КЕР3;12.04.2025;ПК 10+50 право;ГСК;13.04.2025;Керны АБ м/з тип Б М II по ГОСТ 9128;-;;12.04.2025-13;17.04.2025;Соответствует;
ПЛП 5;СТР М11 ТР км 385;23042025;23.04.2025;ТР на км 385, Съезд Д-1 ПК 1+80, ПК 3+20;ГСК;24.04.2025;Керны АБ А22От по ГОСТ Р 58406.2;-;;25/04/25/2/М-11;25.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-12.04.2025-КЕР2;12.04.2025;ПК 10+50 право;ГСК;13.04.2025;Керны АБ м/з тип А М II по ГОСТ 9128;-;;12.04.2025-14;17.04.2025;Не соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-11;23.04.2025;Прямое направление ПК 1380+00 1,5м от кромки, Прямое направление ПК 1382+00 1,5м от кромки, Прямое направление ПК 1375+50 1,5м от кромки;ГЛК;23.04.2025;Керны АБ SP-32Э по ГОСТ Р 58401.1;-;АО Донаэродорстрой;23.04/25-11;24.04.2025;Соответствует;Верхний слой основания основной ход уч. ПК 1375+74 - ПК 1383+65 прямое направление
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-12.04.2025-КЕР1;12.04.2025;ПК 11+20 право, ПК23+20 лево, ПК28+75 право;ГСК;13.04.2025;Керны АБ к/з пл. тип А М II по ГОСТ 9128;-;;12.04.2025-15;17.04.2025;Не соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-12.04.2025-ЩМА-КЕР2;12.04.2025;ПК10+50 право, ПК11+20 право;ГСК;13.04.2025;Керны АБ ЩМА-20 по ГОСТ 31015;-;;12.04.2025-16;17.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-11.04.2025/ЭК/1;11.04.2025;ПК1+00 лево, право;ГСК;13.04.2025;Грунт в кольцах ;-;;11.04.2025-17;15.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-11.04.2025/ЭК/2;11.04.2025;ПК3+00 лево,право;ГСК;13.04.2025;Грунт в кольцах ;-;;11.04.2025-18;15.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-11.04.2025/ЭК/3;11.04.2025;ПК 5+00 лево,право;ГСК;13.04.2025;Грунт в кольцах ;-;;11.04.2025-19;15.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-11.04.2025/ЭК/4;11.04.2025;ПК7+00 лево,право;ГСК;13.04.2025;Грунт в кольцах ;-;;11.04.2025-20;15.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-11.04.2025/ЭК/5;11.04.2025;ПК9+00 лево, право;ГСК;13.04.2025;Грунт в кольцах ;-;;11.04.2025-21;15.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-11.04.2025/ЭК/6;11.04.2025;ПК11+00 лево, право;ГСК;13.04.2025;Грунт в кольцах ;-;;11.04.2025-22;15.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-11.04.2025/ЭК/7;11.04.2025;ПК 13+00 лево, право;ГСК;13.04.2025;Грунт в кольцах ;-;;11.04.2025-23;15.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-12.04.2025-КЕР/3;12.04.2025;ПК28+75 право;ГСК;13.04.2025;Керны АБ м/з тип А М II по ГОСТ 9128;-;;12.04.2025-24;17.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-20.03.2025-Бет/НФ;20.03.2025;опора № 90;ГСК;01.04.2025;Бетонные образцы-кубы;-;ООО ЕТС;20.03.2025-01;17.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-22.03.2025-Бет/НФ;22.03.2025;опора №10   ;ГСК;01.04.2025;Бетонные образцы-кубы;-;ООО ЕТС;22.03.2025-02;19.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-27.03.2025-Бет/НФ;27.03.2025;опора №103 ул. Заозерная;ГСК;01.04.2025;Бетонные образцы-кубы;-;ООО ЕТС;27.03.2025-03;24.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-09.04.2025-Мз-АБС;09.04.2025;ПК 2+00 право;ГСК;13.04.2025;АБС м/з тип А М II по ГОСТ 9128;-;;09.04.2025-27;19.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-09.04.2025-ЩМА-АБС;09.04.2025;ПК 2+00 лево ул. Кальмиусская,д.89;ГСК;13.04.2025;АБС ЩМА-20 по ГОСТ 31015;-;;09.04.2025-28;22.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-09.04.2025-АБС;09.04.2025;ПК11+50 ул. Гранитная;ГСК;13.04.2025;АБС к/з пл. тип А М II по ГОСТ 9128;-;ООО БКД-Асфальт;09.04.2025-29;22.04.2025;Не соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-10.04.2025-АБС;09.04.2025;ПК 5+00  ул. Гранитная;ГСК;13.04.2025;АБС м/з тип А М II по ГОСТ 9128;-;ООО Промбетон;10.04.2025-30;23.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-08.04.2025/БКД/1;08.04.2025;ПК 1+00 лево;ГСК;13.04.2025;Грунт по ГОСТ 25100;-;;08.04.2025-31;22.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-08.04.2025/БКД/2;08.04.2025;ПК 1+00 лево ;ГСК;13.04.2025;Грунт в кольцах ;-;;08.04.2025-32;22.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-11.04.2025/БКД/1;11.04.2025;ПК 5+80 право;ГСК;13.04.2025;Грунт в кольцах ;-;;11.04.2025-33;22.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-09.04.2025/БКД/1;09.04.2025;ПК 6+40 право;ГСК;13.04.2025;Грунт по ГОСТ 25100;-;;09.04.2025-34;23.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-09.04.2025/БКД/2;09.04.2025;ПК6+40 право;ГСК;13.04.2025;Грунт в кольцах ;-;;09.04.2025-35;23.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-14.04.2025/БКД/1;14.04.2025;ПК 0+10  право;ГСК;20.04.2025;Грунт в кольцах ;-;;14.04.2025-36;23.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-14.04.2025/БКД/2;14.04.2025;ПК3+80 право;ГСК;20.04.2025;Грунт в кольцах ;-;;14.04.2025-37;23.04.2025;Соответствует;
ПЛП 4;КР УДС Мариуполь + освещение 2024 год (2 этап);Т1-УДС-16.04.2025/БКД/1;16.04.2025;ПК 1+00 право;ГСК;20.04.2025;Грунт в кольцах ;-;;16.04.2025-38;23.04.2025;Соответствует;
ПЛП 4;КР УДС Макеевка;Мак/3;11.02.2025;ПК 88+00 право;ГСК;13.02.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;ГК Недра;11.02.2025-03;13.02.2025;Соответствует;
ПЛП 4;КР УДС Макеевка;Мак/4;11.02.2025;ПК 88 право, штабель;ГСК;12.02.2025;Песок по ГОСТ 8736;-;ООО Гильдия ГруПП;11.02.2025-04;14.02.2025;Соответствует;
ПЛП 4;КР УДС Макеевка;Мак/4;04.03.2025;ПК88 право;ГСК;06.03.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;ГК Недра;04.03.2025-05;06.03.2025;Соответствует;
ПЛП 4;КР УДС Макеевка;Мак/5;04.03.2025;ПК88 право;ГСК;06.03.2025;ЩПС С-5 по ГОСТ 25607;-;ООО Каранское месторождение;04.03.2025-06;08.03.2025;Соответствует;
ПЛП 4;КР УДС Макеевка;мак/6;05.03.2025;ПК25+20 право заездной карман;ГСК;06.03.2025;Грунт по ГОСТ 25100;-;;05.03.2025-07;09.03.2025;Соответствует;
ПЛП 4;КР УДС Макеевка;Мак/12;11.03.2025;ПК51+50 лево заездной карман;ГСК;18.03.2025;Грунт по ГОСТ 25100;-;;11.03.2025-08;26.03.2025;Соответствует;
ПЛП 4;КР УДС Макеевка;Мак/7;05.03.2025;ПК 52+00 лево;ГСК;18.03.2025;Бетонные образцы-кубы;-;ООО ДонБетон;05.03.2025-09;02.04.2025;Соответствует;
ПЛП 4;КР УДС Макеевка;Мак/8;05.03.2025;ПК 60+00 право;ГСК;18.03.2025;Бетонные образцы-кубы;-;ИП Коваль Майя Иосифовна;05.03.2025-10;02.04.2025;Соответствует;
ПЛП 4;КР УДС Макеевка;Мак/9;07.03.2025;ПК 93+00 лево;ГСК;18.03.2025;Бетонные образцы-кубы;-;ООО ДонБетон;07.03.2025-11;04.04.2025;Соответствует;
ПЛП 4;КР УДС Макеевка;Мак/10;10.03.2025;ПК90+50 лево;ГСК;18.03.2025;Бетонные образцы-кубы;-;ООО ДонБетон;10.03.2025-12;07.04.2025;Соответствует;
ПЛП 6;РЕМ М-4 км 414+700-км 449+00 (о.н.);14-04-SMA-16-1;14.04.2025;ПК 5+00 ОН, шнек асфальтоукладчика;ГСК;18.04.2025;АБС SMA-16 по ГОСТ Р 58401.2;-;ООО ДРСУ Магистраль;14-04-SMA-16-1;20.04.2025;Соответствует;
ПЛП 6;РЕК М-1 км 33 ? км 84 (IV ПК км 66-км 84);259;16.04.2025;Временная база на км 73 лево;ГСК;18.04.2025;АБС м/з тип В М II по ГОСТ 9128;-;ООО Трансстроймеханизация;259;20.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-06;23.04.2025;ПК 1267+50 накопитель ;ГЛК;23.04.2025;Песок по ГОСТ 8736;-;Карьер Силазовский/ООО УралинвестгруПП;23.04/25-06;24.04.2025;Не соответствует;Устройство дополнительного слоя основания, обратной засыпки, конуса.
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-07;23.04.2025;ПК 1260 накопитель ;ГЛК;23.04.2025;Грунт по ГОСТ 25100;-;Карьер Чугарыш;23.04/25-07.1;24.04.2025;Соответствует;Устройство дополнительного слоя основания, конуса, обратной засыпки
